ts_epoch,ts_iso,pkg_mC,core0_mC,core1_mC,core2_mC,core3_mC,core3_throttle,pkg_throttle,cpu3_freq_khz,no_turbo,gov_cpu3
1786483830,2026-08-11T21:30:30Z,47000,45000,47000,44000,NA,0,0,3600000,1,performance
1786483831,2026-08-11T21:30:31Z,44000,42000,45000,41000,NA,0,0,3600000,1,performance
1786483831,2026-08-11T21:30:31Z,44000,42000,45000,41000,NA,0,0,3600000,1,performance
1786483835,2026-08-11T21:30:35Z,45000,42000,45000,40000,NA,0,0,3600000,1,performance
1786483846,2026-08-11T21:30:46Z,44000,43000,44000,42000,NA,0,0,3600000,1,performance
1786483848,2026-08-11T21:30:48Z,47000,47000,47000,44000,NA,0,0,3600000,1,performance
1786483855,2026-08-11T21:30:55Z,48000,48000,47000,44000,NA,0,0,3600000,1,performance
1786483856,2026-08-11T21:30:56Z,48000,48000,47000,44000,NA,0,0,3600000,1,performance
1786483856,2026-08-11T21:30:56Z,52000,47000,51000,47000,NA,0,0,3600000,1,performance
1786483859,2026-08-11T21:30:59Z,48000,47000,49000,45000,NA,0,0,3600000,1,performance
1786483965,2026-08-11T21:32:45Z,43000,42000,42000,40000,NA,0,0,3600000,1,performance
1786483966,2026-08-11T21:32:46Z,44000,42000,44000,41000,NA,0,0,3600000,1,performance
1786483966,2026-08-11T21:32:46Z,44000,42000,44000,41000,NA,0,0,3600000,1,performance
1786483966,2026-08-11T21:32:46Z,44000,42000,44000,41000,NA,0,0,3600000,1,performance
1786483993,2026-08-11T21:33:13Z,48000,44000,48000,44000,NA,0,0,3600000,1,performance
1786483994,2026-08-11T21:33:14Z,47000,46000,47000,46000,NA,0,0,3600000,1,performance
1786483994,2026-08-11T21:33:14Z,47000,46000,47000,46000,NA,0,0,3600000,1,performance
1786483998,2026-08-11T21:33:18Z,46000,44000,46000,44000,NA,0,0,3600000,1,performance
1786484009,2026-08-11T21:33:29Z,46000,44000,46000,43000,NA,0,0,3600000,1,performance
1786484011,2026-08-11T21:33:31Z,45000,44000,44000,42000,NA,0,0,3600000,1,performance
1786484017,2026-08-11T21:33:37Z,45000,44000,45000,41000,NA,0,0,3600000,1,performance
1786484017,2026-08-11T21:33:37Z,45000,44000,45000,41000,NA,0,0,3600000,1,performance
1786484018,2026-08-11T21:33:38Z,45000,46000,45000,44000,NA,0,0,3600000,1,performance
1786484020,2026-08-11T21:33:40Z,46000,45000,46000,43000,NA,0,0,3600000,1,performance
1786484444,2026-08-11T21:40:44Z,46000,44000,46000,43000,NA,0,0,3600000,1,performance
1786484456,2026-08-11T21:40:56Z,46000,45000,46000,43000,NA,0,0,3600000,1,performance
1786484456,2026-08-11T21:40:56Z,46000,45000,46000,43000,NA,0,0,3600000,1,performance
1786484500,2026-08-11T21:41:40Z,45000,45000,45000,43000,NA,0,0,3600000,1,performance
1786484587,2026-08-11T21:43:07Z,46000,46000,47000,43000,NA,0,0,3600000,1,performance
1786484626,2026-08-11T21:43:46Z,45000,43000,45000,41000,NA,0,0,3600000,1,performance
1786484645,2026-08-11T21:44:05Z,46000,45000,46000,42000,NA,0,0,3600000,1,performance
1786484648,2026-08-11T21:44:08Z,47000,44000,46000,43000,NA,0,0,3600000,1,performance
1786484648,2026-08-11T21:44:08Z,47000,44000,46000,43000,NA,0,0,3600000,1,performance
1786484694,2026-08-11T21:44:54Z,43000,40000,42000,40000,NA,0,0,3600000,1,performance
1786484774,2026-08-11T21:46:14Z,43000,42000,42000,41000,NA,0,0,3600000,1,performance
1786484781,2026-08-11T21:46:21Z,41000,40000,42000,40000,NA,0,0,3600000,1,performance
1786484781,2026-08-11T21:46:21Z,41000,40000,42000,40000,NA,0,0,3600000,1,performance
1786484815,2026-08-11T21:46:55Z,41000,41000,41000,40000,NA,0,0,3600000,1,performance
1786484841,2026-08-11T21:47:21Z,43000,41000,43000,40000,NA,0,0,3600000,1,performance
1786484867,2026-08-11T21:47:47Z,42000,41000,42000,39000,NA,0,0,3600000,1,performance
1786484872,2026-08-11T21:47:52Z,41000,40000,42000,40000,NA,0,0,3600000,1,performance
1786484875,2026-08-11T21:47:55Z,41000,41000,41000,39000,NA,0,0,3600000,1,performance
1786484875,2026-08-11T21:47:55Z,41000,41000,41000,39000,NA,0,0,3600000,1,performance
1786484901,2026-08-11T21:48:21Z,40000,40000,41000,39000,NA,0,0,3600000,1,performance
1786484945,2026-08-11T21:49:05Z,45000,45000,45000,44000,NA,0,0,3600000,1,performance
1786484951,2026-08-11T21:49:11Z,42000,41000,42000,40000,NA,0,0,3600000,1,performance
1786484951,2026-08-11T21:49:11Z,42000,41000,42000,40000,NA,0,0,3600000,1,performance
1786484973,2026-08-11T21:49:33Z,42000,40000,42000,39000,NA,0,0,3600000,1,performance
1786484999,2026-08-11T21:49:59Z,43000,43000,43000,41000,NA,0,0,3600000,1,performance
1786485018,2026-08-11T21:50:18Z,42000,41000,42000,39000,NA,0,0,3600000,1,performance
1786485024,2026-08-11T21:50:24Z,43000,40000,43000,40000,NA,0,0,3600000,1,performance
1786485026,2026-08-11T21:50:26Z,43000,41000,44000,39000,NA,0,0,3600000,1,performance
1786485027,2026-08-11T21:50:27Z,43000,41000,44000,39000,NA,0,0,3600000,1,performance
1786485047,2026-08-11T21:50:47Z,44000,42000,44000,42000,NA,0,0,3600000,1,performance
1786485083,2026-08-11T21:51:23Z,45000,43000,44000,41000,NA,0,0,3600000,1,performance
1786485094,2026-08-11T21:51:34Z,43000,41000,43000,39000,NA,0,0,3600000,1,performance
1786485094,2026-08-11T21:51:34Z,43000,41000,43000,39000,NA,0,0,3600000,1,performance
1786485141,2026-08-11T21:52:21Z,41000,39000,41000,40000,NA,0,0,3600000,1,performance
